,Country name,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Healthy life expectancy,Explained by: Log GDP per capita,Explained by: Perceptions of corruption,Explained by: Social support,Score,year,code
23,Chile,0.37789,0.31595,0.8188300000000001,1.2167,0.11450999999999999,0.9058700000000001,6.705,2016,CHL
24,Panama,0.48927,0.2418,0.70835,1.18306,0.08423,0.9891200000000001,6.7010000000000005,2016,PAN
25,Argentina,0.42283999999999994,0.10989000000000002,0.69711,1.15137,0.07296,1.0661200000000002,6.65,2016,ARG
26,Czech Republic,0.41418,0.09929,0.76376,1.30915,0.03986,1.00793,6.596,2016,CZE
27,United Arab Emirates,0.56215,0.26591,0.72993,1.57352,0.35561,0.8711399999999999,6.5729999999999995,2016,ARE
28,Uruguay,0.54388,0.18056,0.72183,1.18157,0.21394000000000002,1.0314299999999998,6.545,2016,URY
29,Malta,0.54994,0.56237,0.80315,1.30782,0.17554,1.09879,6.4879999999999995,2016,MLT
30,Colombia,0.44735,0.15625999999999998,0.59659,1.0303200000000001,0.053989999999999996,1.02169,6.481,2016,COL
31,France,0.46562,0.1216,0.83795,1.39488,0.17808,1.00508,6.478,2016,FRA
32,Thailand,0.49553,0.58696,0.64915,1.0893,0.02833,1.04477,6.474,2016,THA
33,Saudi Arabia,0.37904,0.15457,0.59267,1.48953,0.30008,0.84829,6.379,2016,SAU
34,Taiwan,0.32377,0.25495,0.79565,1.39729,0.0663,0.92624,6.379,2016,TWN
35,Qatar,0.56679,0.32388,0.71723,1.82427,0.48049,0.87964,6.375,2016,QAT
36,Spain,0.37545,0.17665,0.8789600000000001,1.34253,0.06137000000000001,1.12945,6.361000000000001,2016,ESP
37,Algeria,0.21006,0.07044,0.6180399999999999,1.05266,0.16157,0.83309,6.355,2016,DZA
38,Guatemala,0.50379,0.28808,0.5403899999999999,0.83454,0.08701,0.8711899999999999,6.324,2016,GTM
39,Suriname,0.5223399999999999,0.16665,0.5093300000000001,1.09686,0.12692,0.77866,6.269,2016,SUR
40,Kuwait,0.43166000000000004,0.15965,0.63569,1.61714,0.23669,0.8775799999999999,6.239,2016,KWT
41,Bahrain,0.47375,0.17147,0.65696,1.44024,0.25772,0.9439700000000001,6.218,2016,BHR
